id,name,producerName,id,name,subscribersCount,data
0,Totale,PagoPa S.p.A.,1,Altre Pubbliche Amministrazioni locali,2,"{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}}"
0,Totale,PagoPa S.p.A.,2,Aziende Ospedaliere e ASL,1,"{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,3,Comuni,3324,"{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":3324}}"
0,Totale,PagoPa S.p.A.,4,Province e Città Metropolitane,1,"{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,12,Stazioni Appaltanti e Gestori di pubblici servizi,6,"{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":6}}"
0,Totale,Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,13,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":13}}"
0,Totale,Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,8,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":8}}"
0,Totale,Agenzia per L'Italia Digitale,3,Comuni,206,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":206}}"
0,Totale,Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,14,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":14}}"
0,Totale,Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}}"
0,Totale,Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
